listing_id,listing_name,room_type,cluster_id,guests,bedrooms,baths,cleaning_fee,num_reviews_x,rating_overall,superhost,professional_management,ttm_avg_rate,ttm_occupancy
33492650,Private guest suite in a quiet S.Park neighborhood,entire_home,0,2.0,1.0,1.0,25.0,121,4.89,1,0,91.6,0.332
7324012,Uptown Charm Bungalow on Bay. (Travel Nurses Fav.),entire_home,0,4.0,2.0,1.0,100.0,196,4.81,0,0,120.7,0.348
20725655,"Dilworth Condo: Balcony, King Bed, Free Parking!",entire_home,0,4.0,1.0,1.0,110.0,86,4.92,1,1,186.5,0.266
17497504,D & S BnB LLC. Pet friendly,entire_home,0,4.0,1.0,1.0,0.0,303,5.0,1,0,125.7,0.962
20726119,Elegant Myers Park 2BR King Condo with Sunroom,entire_home,0,4.0,2.0,1.0,119.0,55,4.96,1,1,201.4,0.071
25796123,Newly renovated! Charming 1937 Duplex Side 1,entire_home,0,4.0,1.0,1.0,90.0,203,4.65,1,0,132.9,0.351
23633357,University City Guest House,entire_home,1,8.0,4.0,3.0,150.0,116,4.78,0,0,161.3,0.205
32271078,"Bacardi Homes, LLC of Charlotte-the Green Door",entire_home,1,10.0,3.0,2.0,150.0,77,4.81,1,0,214.9,0.521
29057100,Cozy Cottage Minutes from Uptown,entire_home,0,4.0,2.0,2.0,110.0,353,4.79,1,0,169.8,0.31
22166407,"8 Bedrooms in Dilworth, Close to SouthEnd",entire_home,1,16.0,8.0,4.0,340.0,242,4.82,0,0,491.6,0.559
28277990,Uptown Charlotte Cottage Home Walk to all stadiums,entire_home,0,4.0,2.0,1.0,100.0,103,4.98,0,0,133.8,0.649
27806473,Uptown 1st Ward | Walk Everywhere | Apple TV-Wifi,entire_home,0,4.0,1.0,1.0,71.0,488,4.82,1,1,158.5,0.633
728239,Cozy Studio Apt w/ Private Bathroom,entire_home,0,2.0,1.0,1.0,20.0,791,4.88,0,0,80.2,0.181
18962353,Close 2 Southpark~Pet Friendly w/Fenced-In Yard,entire_home,1,7.0,3.0,1.5,256.0,61,4.82,1,1,199.0,0.038
29393829,Eclectic in the Heart of Arts District-Condo,entire_home,0,2.0,1.0,1.0,70.0,426,4.86,1,0,156.4,0.321
32282135,Fabulous Fourth Ward Flat * 1BR Historic Charlotte,entire_home,0,3.0,1.0,1.0,80.0,182,4.91,1,0,174.6,0.501
17676454,Renovated bungalow 1 mile from Uptown Charlotte.,entire_home,1,6.0,2.0,2.0,150.0,189,4.78,0,0,179.1,0.282
9320861,3Bed 2Bath UNCC PNC IKEA Concord Mills & Speedway,entire_home,0,4.0,3.0,2.0,50.0,248,4.71,1,0,163.1,0.479
28724153,Uptown 1 bedroom condo,entire_home,0,2.0,1.0,1.0,45.0,801,4.9,1,0,122.8,0.666
20725349,"Chic 1BR King Condo, Elizabeth-Plaza Midwood",entire_home,0,4.0,1.0,1.0,112.0,55,4.93,1,1,154.1,0.438
28153655,Uptown 1st Ward | Minutes to Epicentre | Gym-Pool,entire_home,0,4.0,1.0,1.0,71.0,532,4.84,1,1,152.7,0.679
15563888,2BR/2BA Light Rail Station-Top Floor Flat-Southend,entire_home,0,4.0,2.0,2.0,0.0,33,4.97,1,0,123.5,0.195
30293819,"Central w/ Pool & Gym, Free Parking - Walkable!",entire_home,0,2.0,1.0,1.0,100.0,337,4.69,0,0,156.3,0.578
22861606,Guest house SouthPark Area,entire_home,0,2.0,1.0,1.0,75.0,292,4.98,1,0,145.8,0.416
31290170,Uptown Charlotte Pool View - 24/7 Fitness Center,entire_home,0,2.0,1.0,1.0,90.0,416,4.72,0,0,160.5,0.477
25446261,Uptown 1st Ward | Patio with Hammock | 2 Story Apt,entire_home,0,6.0,2.0,1.0,82.0,460,4.74,1,1,159.9,0.515
20036662,Plaza Midwood Carriage House - Quiet & Private,entire_home,0,2.0,1.0,1.0,35.0,221,4.96,1,0,144.6,0.526
20725387,Elegant 2BR with Covered Patio,entire_home,1,6.0,2.0,2.5,140.0,27,4.93,1,1,309.9,0.477
10207853,Gorgeous Studio Apt close to Uptown,entire_home,0,2.0,1.0,1.0,5.0,623,4.96,1,0,94.2,0.77
14264412,Darby's Safari Apartment overlooking petting zoo.,entire_home,0,4.0,2.0,1.0,30.0,438,4.92,1,0,102.0,0.438
16589306,Private Entrance Studio,entire_home,0,2.0,1.0,1.0,40.0,266,4.93,1,0,117.0,0.403
23593369,"Modern, UNC CH Home3br/2ba 3 beds, 1king 2 queen",entire_home,1,6.0,3.0,2.0,135.0,356,4.79,1,0,162.4,0.518
19940995,"Centrally Located - 5 Min to Uptown, I-77 and -I85",entire_home,1,6.0,3.0,3.0,125.0,386,4.71,0,0,166.4,0.468
29607799,"Cotswold Gem, Deck, HotTub Private Entrance Quiet",entire_home,0,2.0,1.0,1.0,118.0,197,4.97,0,0,119.6,0.499
2012313,Home away from home.Very Peaceful,entire_home,1,8.0,3.0,2.0,47.0,274,4.71,1,0,175.8,0.31
30404728,Clouds and the Rain,entire_home,0,4.0,2.0,1.0,100.0,523,4.94,1,0,148.1,0.71
13637704,"Lake Front and pool, great vacation spot",entire_home,1,16.0,7.0,5.5,500.0,16,4.69,0,0,1135.7,0.258
23883019,Townhouse in the Heart of Charlotte,entire_home,0,4.0,2.0,1.5,130.0,177,4.79,1,0,128.8,0.496
15221991,*Sanitized Safe* 1 bdr Midwood/Commonwealth Condo,entire_home,0,3.0,1.0,1.0,65.0,80,4.85,1,0,88.4,0.186
11168918,"Uptown Zen House - Fresh, new design!",entire_home,1,6.0,3.0,2.5,100.0,51,4.65,0,0,240.5,0.063
12087093,South End Stunner in Heart of it all-3 BR Townhome,entire_home,1,7.0,4.0,3.0,155.0,128,4.96,1,0,415.7,0.499
17408007,"Walkable Uptown area, King bed. Quiet & Private",entire_home,0,3.0,1.0,1.5,25.0,134,4.87,1,0,92.3,0.268
20725808,Refined Myers Park 2BR King Condo with Sunroom,entire_home,0,6.0,2.0,1.0,119.0,72,4.93,1,1,233.9,0.296
21355092,Luxury Parkside Townhome 1 mile from Uptown,entire_home,1,11.0,6.0,3.0,0.0,193,4.99,0,0,513.3,0.244
31236794,"Ayrsley Live, Work",entire_home,0,4.0,2.0,2.5,50.0,269,4.68,0,0,110.4,0.589
20725683,"Myers Park 2BR Condo with King Bed, Porch & Free P",entire_home,0,6.0,2.0,1.0,140.0,87,4.91,1,1,221.6,0.507
28738827,The Historic Ivey’s (Est. 1924) Uptown Condo,entire_home,1,4.0,2.0,2.0,160.0,119,4.92,1,0,360.9,0.455
20965706,"Yellow House - 3 Bed, Private yard, parking",entire_home,1,6.0,3.0,2.0,100.0,294,4.85,0,0,228.5,0.164
30292164,Queen city lifestyle,entire_home,1,6.0,3.0,2.0,160.0,121,4.74,0,0,135.7,0.164
17537945,Coliseum Cottage,entire_home,0,4.0,2.0,1.0,100.0,490,4.91,1,0,139.0,0.553
31325926,Stylish Mid-Century EastCLT Home w/firepit-the Del,entire_home,0,4.0,2.0,1.0,80.0,400,4.97,1,0,122.4,0.849
20724787,Spacious condo with easy access to Uptown,entire_home,0,2.0,1.0,1.0,112.0,136,4.86,1,1,194.7,0.197
547871,Basil Bungalow | Plaza Midwood,entire_home,0,6.0,2.0,2.0,110.0,345,4.89,1,1,275.7,0.69
14473575,Downtown Bungalow 7 bedroom 4 bath,entire_home,1,16.0,7.0,4.0,220.0,333,4.9,0,0,664.2,0.619
30037226,Wonderful 2 bedroom townhouse in South Charlotte,entire_home,1,6.0,2.0,2.5,150.0,73,4.88,1,0,194.9,0.175
32555162,Uncc Nascar Pnc 2acre lot two bedroom,entire_home,0,5.0,2.0,1.0,25.0,153,4.67,0,0,100.4,0.099
22477236,Modern Townhouse in Historic 4th Ward!,entire_home,0,3.0,1.0,1.0,85.0,137,4.84,1,0,122.6,0.479
33088119,Cozy Industrial Ranch| Great Value | 1 mi to NoDa,entire_home,0,6.0,2.0,1.0,90.0,317,4.8,1,0,116.1,0.225
20725405,2Plush Myers Park 2BR King Condo | Porch | Private,entire_home,1,6.0,2.0,2.5,125.0,10,4.5,1,1,267.8,0.255
25202068,Uptown 1st Ward | Walk to Epicentre | Apple TV,entire_home,0,4.0,1.0,1.0,71.0,522,4.79,1,1,162.1,0.611
25995678,1008 Parkwood Avenue,entire_home,1,8.0,4.0,3.5,200.0,242,4.77,0,0,223.6,0.479
6749964,"Charming Bungalow Bed, EnSuite Bath, shared home",private_room,0,2.0,1.0,1.5,75.0,51,5.0,0,0,145.8,0.249
20946510,5-Star *Sparkling Clean* Modern Luxury Near Uptown,entire_home,0,4.0,2.0,1.0,90.0,259,4.98,1,0,144.9,0.671
21695311,Stylish South Park Abode,entire_home,0,4.0,2.0,1.0,60.0,64,4.88,0,0,171.0,0.353
18439088,"Windy Hill, A Tranquil Retreat in East Charlotte",entire_home,0,2.0,1.0,1.0,45.0,142,4.99,0,0,118.4,0.595
1502803,Charming bungalow - Uptown 1mi away!,entire_home,0,3.0,2.0,1.0,100.0,117,4.81,1,0,119.0,0.712
14786218,Sweetwater Cottage on Lake Wylie,entire_home,1,8.0,2.0,2.0,175.0,6,4.83,0,0,250.8,0.537
31104826,"Meghan’s Place-Suite, Private Entry",entire_home,0,5.0,1.0,1.0,58.0,178,4.94,1,0,125.1,0.233
20517670,"Charlotte Home/hot tub/near lake,Carowinds,airport",entire_home,1,6.0,3.0,2.5,165.0,24,4.96,1,0,219.7,0.493
20725544,"Charlotte Condo with Balcony: Sleeps 3, Pet-Friend",entire_home,0,4.0,2.0,1.0,140.0,72,4.86,1,1,192.2,0.411
21827516,Myers Park Condo: Modern Comfort & Pet-Friendly St,entire_home,0,2.0,1.0,1.0,112.0,103,4.92,1,1,174.8,0.359
12269378,Peaceful Charlotte Retreat: Senior Friendly,entire_home,0,4.0,2.0,2.0,100.0,109,4.94,1,0,170.1,0.356
22402309,Beautiful University Townhome,entire_home,1,4.0,3.0,2.5,140.0,70,4.83,1,0,134.0,0.595
32306381,Discover Charlotte From a Radiant Home with a Patio,entire_home,0,4.0,2.0,2.5,110.0,415,4.87,1,0,185.8,0.397
20725482,Chic and Comfortable 2BR near Uptown,entire_home,1,6.0,2.0,2.5,140.0,47,4.96,1,1,290.3,0.548
19121020,Your home away from home - Weekly,entire_home,0,4.0,2.0,1.0,0.0,1011,4.77,1,0,100.1,0.534
4452470,Loft in Myers Park - Great Location,entire_home,0,2.0,1.0,1.0,0.0,50,4.7,0,0,185.5,0.214
21967032,"Cute, Stylish and Comfy Ranch Close to Uptown!",entire_home,1,8.0,3.0,1.0,156.0,337,4.68,0,0,167.9,0.216
26600754,Beautiful Updated Charlotte Ranch,entire_home,1,8.0,3.0,2.0,180.0,78,4.69,0,0,218.9,0.093
25981960,Tiny Living in Wilmore/South End,entire_home,0,5.0,2.0,1.0,90.0,417,4.73,1,0,185.4,0.512
33718219,"3000 Sq Ft, 5 Bedroom, City with ♥ Parking (2)",entire_home,1,13.0,5.0,3.5,185.0,138,4.93,1,0,468.1,0.455
9875356,The Duchess of (1st Ward) Uptown!,entire_home,0,4.0,1.0,1.0,118.0,43,4.95,0,0,124.2,0.452
20725519,Chic Comfortable 2BR with Porch near Dilworth,entire_home,0,4.0,2.0,1.0,140.0,41,4.66,1,1,190.5,0.31
32118226,Uptown Charlotte Loft Near Bank of America Stadium,entire_home,0,2.0,1.0,1.0,45.0,388,4.89,1,0,130.0,0.584
15791330,"Luxury Guest Apt next to Uptown, Fine Dining,Parks",entire_home,0,4.0,2.0,2.0,125.0,91,4.99,1,0,195.8,0.471
30174798,Historic Cherry Bungalow House - Midtown,entire_home,0,4.0,2.0,1.0,165.0,55,4.93,1,0,144.7,0.444
19455055,Family Home In Cozy Neighborhood Cul-de-Sac,entire_home,1,5.0,4.0,3.0,250.0,39,4.95,1,0,257.1,0.29
24831464,Noda luxury Charlotte,entire_home,0,4.0,1.0,1.0,105.0,34,4.68,0,0,136.7,0.274
26249989,Uptown 1st Ward | Patio with Hammock | 2BD Hip Apt,entire_home,0,6.0,2.0,1.0,82.0,482,4.74,1,1,169.8,0.6
27338626,Cute and spacious single family home/pet friendly,entire_home,1,6.0,3.0,2.5,0.0,33,4.61,1,0,187.7,0.285
23973937,Minutes to Uptown/Airport/Stadium,entire_home,1,6.0,3.0,3.0,125.0,281,4.68,0,0,165.8,0.534
139741,Swanky Furnished Townhome in Uptown Downtown,entire_home,0,3.0,1.0,1.0,138.0,172,4.64,0,1,167.0,0.167
11636463,"Arts District, Nature trail, private pool, bikes",entire_home,1,2.0,1.0,2.0,175.0,10,4.7,0,0,174.2,0.11
32047210,Lillie's Place,entire_home,1,6.0,3.0,2.0,40.0,25,4.92,1,0,151.2,0.066
20205769,Southern Living Close to Uptown  Charlotte,entire_home,1,16.0,3.0,2.5,150.0,212,4.79,1,0,306.5,0.058
19490095,Private Guest Suite,entire_home,0,3.0,1.0,1.0,0.0,414,4.84,1,0,73.4,0.551
492113,Basil Bungalow Guesthouse | Plaza Midwood,entire_home,0,4.0,1.0,1.0,90.0,810,4.87,1,1,118.2,0.767
20725728,"Charlotte Condo: 2BR, Free Parking, Pet-Friendly!",entire_home,0,4.0,2.0,1.0,140.0,86,4.92,1,1,236.0,0.529
28163346,Cute home 9 mins from uptown and light rail!!,entire_home,1,10.0,4.0,2.0,180.0,686,4.88,1,0,216.4,0.488
17963311,"5 bedroom home in Chantilly, Walk to Plaza Midwood",entire_home,1,10.0,5.0,3.0,0.0,194,4.92,0,0,338.3,0.189
7816426,Bright Private Suite in Charming Neighborhood,private_room,0,2.0,1.0,1.0,0.0,279,4.81,1,0,77.0,0.688
20726057,Luxury Myers Park 2BR Condo with Sunroom and Free,entire_home,1,4.0,2.0,2.0,140.0,94,4.95,1,1,285.8,0.252
20729324,Garage suite close to downtown & low cleaning fee!,entire_home,0,2.0,1.0,1.0,50.0,321,4.95,1,0,111.3,0.332
25935766,"Charlotte Family Retreat w/ Deck, Near UNCC!",entire_home,1,6.0,3.0,2.5,184.0,84,4.69,0,1,218.8,0.488
8719633,The Guest House * 2BR * Historic Uptown Charlotte,entire_home,0,6.0,2.0,1.5,94.0,530,4.89,1,0,260.4,0.4
20725450,Lavish Myers Park 2BR King Condo | Porch | Private,entire_home,1,6.0,2.0,2.5,140.0,24,4.83,1,1,249.4,0.381
28911938,Gorgeous Historic Dilworth Townhome,entire_home,0,4.0,2.0,2.5,99.0,259,4.91,1,0,181.2,0.658
31550414,"Colorful, Comfortable, Private and Unique",entire_home,0,2.0,1.0,1.0,0.0,482,4.92,1,0,76.4,0.8
28055794,Dilworth Business Loft- Min. 30 Day Stay,entire_home,0,3.0,1.0,1.0,0.0,31,4.9,1,0,84.7,0.384
18588469,Updated Ranch in S. Charlotte Close to TOP GOLF!,entire_home,0,7.0,3.0,1.0,80.0,260,4.76,1,0,140.3,0.573
26437645,Cool Guest House. Close to Uptown. Walk Everywhere,entire_home,0,4.0,1.0,1.0,120.0,290,4.79,1,1,138.6,0.351
